path,score,radius
10513907744.jpg,7,0.29559151377369736
11004139923.jpg,7,0.29559151377369736
1434258458.jpg,6,0.29559151377369736
1572804254.jpg,5,0.05981641080204438
2197636094.jpg,9,0.27411502134188415
2790138273.jpg,7,0.14091756633459643
3228786952.jpg,6,0.12191890634512025
3390605400.jpg,5,0.23437366732385242
3395475764.jpg,9,0.29559151377369736
3525647615.jpg,8,0.005948746047570685
10027582235.jpg,9,0.29559151377369736
10031298826.jpg,5,0.26715725346700364
10050349236.jpg,3,0.20614215552764337
10091520555.jpg,6,0.1389032130921764
10094235786.jpg,8,0.23437366732385242
10111411235.jpg,5,0.17078935581208488
10147970884.jpg,8,0.29559151377369736
10155925686.jpg,7,0.19254843208229777
10244314384.jpg,4,0.1573194455566146
1026198859.jpg,8,0.28291806847141854
