path,score,radius
10513907744.jpg,8,0.1423244631767374
11004139923.jpg,9,0.24632626147808115
1434258458.jpg,7,0.24632626147808115
1572804254.jpg,6,0.040314717568133325
2197636094.jpg,11,0.24632626147808115
2790138273.jpg,8,0.10300458200869884
3228786952.jpg,5,0.17943760505666895
3390605400.jpg,-1,0.0
3395475764.jpg,8,0.12090656122418252
3525647615.jpg,8,0.04258165162892947
10027582235.jpg,11,0.24632626147808115
10031298826.jpg,-1,0.0
10050349236.jpg,6,0.16276573543608117
10091520555.jpg,3,0.0016788890832182505
10094235786.jpg,8,0.20045979035232692
10111411235.jpg,6,0.024791434784448764
10147970884.jpg,11,0.24632626147808115
10155925686.jpg,6,0.09275704950338465
10244314384.jpg,7,0.08863113548344262
1026198859.jpg,10,0.24632626147808115
