path,score,radius
10513907744.jpg,8,0.028482777364767054
11004139923.jpg,11,0.29559151377369736
1434258458.jpg,11,0.22637717229325366
1572804254.jpg,7,0.042033040977391994
2197636094.jpg,11,0.29559151377369736
2790138273.jpg,8,0.18369780443602696
3228786952.jpg,3,0.023143694858113063
3390605400.jpg,4,0.004131220777300088
3395475764.jpg,11,0.29559151377369736
3525647615.jpg,8,0.19531888252329738
10027582235.jpg,11,0.29559151377369736
10031298826.jpg,6,0.03454168609380344
10050349236.jpg,8,0.13628472780644066
10091520555.jpg,6,0.05981641080204438
10094235786.jpg,10,0.0821228067504464
10111411235.jpg,5,0.22890192639508244
10147970884.jpg,11,0.29559151377369736
10155925686.jpg,8,0.06486381400302729
10244314384.jpg,5,0.22397211652047064
1026198859.jpg,10,0.29559151377369736
