path,score,radius
10513907744.jpg,8,0.13004135622174673
11004139923.jpg,9,0.29559151377369736
1434258458.jpg,7,0.28291806847141854
1572804254.jpg,6,0.10930267371548442
2197636094.jpg,11,0.29559151377369736
2790138273.jpg,8,0.10782079768185221
3228786952.jpg,5,0.15174592402430276
3390605400.jpg,2,0.0641346863297131
3395475764.jpg,8,0.1769462816326311
3525647615.jpg,-1,0.0
10027582235.jpg,11,0.29559151377369736
10031298826.jpg,7,0.038752663817611305
10050349236.jpg,6,0.10733097179221053
10091520555.jpg,-1,0.0
10094235786.jpg,8,0.18610679135207633
10111411235.jpg,6,0.04302469944997877
10147970884.jpg,11,0.29559151377369736
10155925686.jpg,6,0.0845697870550235
10244314384.jpg,7,0.10207099470723713
1026198859.jpg,10,0.29559151377369736
