path,score,radius
10513907744.jpg,5,0.08293405852930585
11004139923.jpg,10,0.29559151377369736
1434258458.jpg,5,0.1509797085165168
1572804254.jpg,6,0.29559151377369736
2197636094.jpg,7,0.06669907996932076
2790138273.jpg,6,0.1660290506003864
3228786952.jpg,3,0.10539164241592242
3390605400.jpg,3,0.041373916290164146
3395475764.jpg,6,0.29559151377369736
3525647615.jpg,6,0.25175885700355627
10027582235.jpg,6,0.014177780734581914
10031298826.jpg,5,0.03973283446111024
10050349236.jpg,5,0.19972154310138146
10091520555.jpg,4,0.01234083391134862
10094235786.jpg,4,0.25175885700355627
10111411235.jpg,3,0.06522943199936075
10147970884.jpg,7,0.23736114985694393
10155925686.jpg,4,0.03973283446111024
10244314384.jpg,4,0.24398111184886526
1026198859.jpg,6,0.29559151377369736
